Imagename,Depth,lat,lon,alt,num,fn
201503.20150520.180010573.35300.png,71.27,39.286207,-72.972853,2.12,0,0
201503.20150520.181252058.39850.png,64.26,39.296572,-73.000688,1.89,0,0
201503.20150520.181925347.42200.png,68.8,39.302607,-73.01442,1.87,0,0
201503.20150520.182821067.45400.png,68.37,39.311103,-73.032985,2,0,0
201503.20150520.183158656.46700.png,70.19,39.31469,-73.040553,2.28,0,0
201503.20150520.183700048.48500.png,68.09,39.319573,-73.050912,1.98,0,0
201503.20150520.184201267.50300.png,66.52,39.324467,-73.061422,1.82,0,0
201503.20150520.184431912.51200.png,64.61,39.327037,-73.066653,1.78,0,0
201503.20150520.185040080.53400.png,61.29,39.333342,-73.079473,1.21,0,0
201503.20150520.185459486.54950.png,61.95,39.337863,-73.088603,2.09,0,0
201503.20150520.190518708.58650.png,59.58,39.348895,-73.110315,1.86,0,0
201503.20150520.191726883.63000.png,59.56,39.360388,-73.135848,1.63,3,0
201503.20150520.192129559.64450.png,58.45,39.363275,-73.145052,1.91,0,0
201503.20150520.193041831.67750.png,61.2,39.369882,-73.165952,1.43,0,0
201503.20150520.194027578.71250.png,58.62,39.376982,-73.187798,1.79,0,0
201503.20150520.195835408.77750.png,56.46,39.395683,-73.203963,1.94,0,0
201503.20150520.200426854.79850.png,56.74,39.403627,-73.195535,1.33,20,2
201503.20150520.200657471.80750.png,56.91,39.407068,-73.19207,1.61,0,0
201503.20150520.200928093.81650.png,56.82,39.410563,-73.188435,1.61,27,0
201503.20150520.201116876.82300.png,56.76,39.413125,-73.185808,1.86,0,0
201503.20150520.201141984.82450.png,56.95,39.4137,-73.18522,1.87,0,0
201503.20150520.203344101.90350.png,55.87,39.443462,-73.15335,1.67,0,0
201503.20150520.205217024.97000.png,52.22,39.469352,-73.129373,1.5,18,0
201503.20150520.205636436.98550.png,51.89,39.475523,-73.123838,1.65,0,0
201503.20150520.210030726.99950.png,52.7,39.481015,-73.118758,1.59,0,0
